session,bill_identifier,classification,name,party,entity_type,source_url
83,AB110,primary,Assemblymember Danielle Gallant,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/23
83,AB110,cosponsor,Senator Jeff Stone,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/83rd2025/20
83,AB132,primary,Assemblymember Toby Yurek,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/19
83,AB134,primary,Assembly Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Committee/442/Overview
83,AB190,primary,Assemblymember Bert Gurr,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/33
83,AB26,primary,Assembly Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Committee/442/Overview
83,AB265,primary,Assemblymember Bert Gurr,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/33
83,AB265,primary,Assemblymember Rich DeLong,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/26
83,AB265,cosponsor,Assemblymember Heidi Kasama,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/2
83,AB312,primary,Assemblymember Rich DeLong,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/26
83,AB363,primary,Assembly Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Committee/442/Overview
83,AB385,primary,Assemblymember Lisa Cole,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/4
83,AB419,primary,Assemblymember Rich DeLong,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/26
83,AB419,primary,Assemblymember Lisa Cole,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/4
83,AB419,primary,Assemblymember Bert Gurr,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/33
83,AB419,cosponsor,Assemblymember Jill Dickman,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/31
83,AB419,cosponsor,Assemblymember PK O’Neill,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/40
83,AB456,primary,Assemblymember Cinthia Zermeño Moore,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/11
83,AB456,primary,Assemblymember Venicia Considine,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/83rd2025/18
83,AB485,primary,Assembly Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Committee/442/Overview
83,AB9,primary,Assembly Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Committee/442/Overview
83,SB108,primary,Senator Robin Titus,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/83rd2025/17
83,SB143,primary,Senator Rochelle Nguyen,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/83rd2025/3
83,SB159,primary,Senator Edgar Flores,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/83rd2025/2
83,SB276,primary,Senator Ira Hansen,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/83rd2025/14
83,SB276,primary,Senator Edgar Flores,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/83rd2025/2
