id,vote_event_id,option,value
3592fdaf-f6a3-4f06-8bb0-0278133a793a,ocd-vote/09ce38fd-e0b8-4daf-b010-ba9e292ff12e,other,1
eeb3a3ea-557b-4c13-86fc-c25240178b8f,ocd-vote/09ce38fd-e0b8-4daf-b010-ba9e292ff12e,no,12
92dc096f-83e3-479e-b365-42bad038f74e,ocd-vote/09ce38fd-e0b8-4daf-b010-ba9e292ff12e,yes,11
adea63cc-9df2-484c-ba56-1f69f313fc7f,ocd-vote/5c2c8842-b268-412a-8502-d104fdda7e37,no,10
a669941b-37d5-4fa3-8749-a73f977af772,ocd-vote/5c2c8842-b268-412a-8502-d104fdda7e37,yes,14
774de41e-57e2-4fb0-bbb7-60109de6acc4,ocd-vote/68db0032-c87e-452a-aa13-fad8ba8ee647,no,10
a1c4e379-4678-4d29-9d9a-3a9385680ba7,ocd-vote/68db0032-c87e-452a-aa13-fad8ba8ee647,yes,14
2841b017-e0df-4462-9e96-f71353ac014d,ocd-vote/6c0bb776-2708-4c5e-9d86-ba2491cb07aa,no,10
86ee940f-071f-4120-aa6b-2cf279d1af5b,ocd-vote/6c0bb776-2708-4c5e-9d86-ba2491cb07aa,yes,14
168ad863-28c0-49ed-890a-2e7678625b86,ocd-vote/a30d21aa-c565-40eb-a72b-7b65de5fb839,no,4
dd0b41ef-4ba0-4c49-a1b0-780c2abb7c94,ocd-vote/a30d21aa-c565-40eb-a72b-7b65de5fb839,yes,20
5788e8a7-55a0-4471-a105-58996ee6178f,ocd-vote/7fdc65d2-0c19-4ce7-bc3b-cdbbe40b1350,no,0
28c4dc78-b0af-4d52-9fba-ccfbe0bcfcb6,ocd-vote/7fdc65d2-0c19-4ce7-bc3b-cdbbe40b1350,yes,24
cdd06ccf-1355-412b-a892-763c6ac09090,ocd-vote/15e0ee48-83d9-43b3-aa29-5fe3f4a9d4f4,other,27
a2e9f189-4355-4e81-99db-347297a1be71,ocd-vote/15e0ee48-83d9-43b3-aa29-5fe3f4a9d4f4,no,174
8e65938a-7871-4310-8e21-fcf52829b242,ocd-vote/15e0ee48-83d9-43b3-aa29-5fe3f4a9d4f4,yes,194
3cac37e6-cfd1-43b8-9c58-ee76d0eb4b99,ocd-vote/c8ff766f-9020-46bc-85a5-ce9fdb6badb1,other,22
69eaa9df-b243-49ec-95b0-a625b26c3793,ocd-vote/c8ff766f-9020-46bc-85a5-ce9fdb6badb1,no,198
9a2ef0be-8ec4-4c0d-b1ac-ed0459c42c04,ocd-vote/c8ff766f-9020-46bc-85a5-ce9fdb6badb1,yes,177
971c9a5c-2457-43b1-abf3-7f558740406b,ocd-vote/2cae671b-4e1f-4cbd-b135-64526fe998cc,no,14
e8dac27c-39a6-40bd-903f-433612bc6950,ocd-vote/2cae671b-4e1f-4cbd-b135-64526fe998cc,yes,10
afbc0ab1-d7b8-4228-b3d8-48e076dd70c0,ocd-vote/02da6fd7-8877-4093-85fa-a9241e75c111,no,0
fa974aa0-956f-4057-a329-2f118e162ee2,ocd-vote/02da6fd7-8877-4093-85fa-a9241e75c111,yes,24
55e033b4-c4b2-473e-856f-388a62ed8b6f,ocd-vote/ab99da0e-d37c-4fb6-b346-0eccf7c08e16,no,10
3ad92e0c-c43e-48b9-9c9c-850564820e42,ocd-vote/ab99da0e-d37c-4fb6-b346-0eccf7c08e16,yes,14
4dc59781-882e-42dd-8ff5-4977b73f5bf2,ocd-vote/b021ce4a-a672-4913-a78f-80e713f6427b,other,46
5c662aab-1563-48d6-a08c-5f9e53c765d8,ocd-vote/b021ce4a-a672-4913-a78f-80e713f6427b,no,144
84af28f1-534b-4209-abb5-cccac4423895,ocd-vote/b021ce4a-a672-4913-a78f-80e713f6427b,yes,206
a6c16a36-8324-4e2d-9657-30ed461b5918,ocd-vote/e1d30d15-2e31-44ad-8e2f-3c7d69dc6f1d,no,0
fd73841a-42ca-49b2-b40a-ce689de8c4b1,ocd-vote/e1d30d15-2e31-44ad-8e2f-3c7d69dc6f1d,yes,24
6042edfb-7e67-4443-ae90-7e42590830a7,ocd-vote/1be774cc-9b72-4e90-bfd1-34033b0b32b3,other,14
c08f2112-b7ee-4fd9-8fcc-2af65b8bbf53,ocd-vote/1be774cc-9b72-4e90-bfd1-34033b0b32b3,no,197
7115177d-79e7-49d7-9aa9-e68aafb766cf,ocd-vote/1be774cc-9b72-4e90-bfd1-34033b0b32b3,yes,184
1be76792-fe06-4d30-97ff-73f8abbac259,ocd-vote/8b2ac81f-94ba-4c0d-ab5a-2450f15f10d6,other,1
0728027a-4d8b-4ec3-9068-772e55757390,ocd-vote/8b2ac81f-94ba-4c0d-ab5a-2450f15f10d6,no,9
b659e2a0-aa9a-4603-9b38-4b3b0e4d044b,ocd-vote/8b2ac81f-94ba-4c0d-ab5a-2450f15f10d6,yes,14
b65dbfd2-45d9-41ee-8936-f89f45e7ee2e,ocd-vote/7933e6b0-c1d5-4b2f-a049-4f9d987f94b6,no,10
4a56b82f-3805-47d6-bf1e-d2b5f434f26b,ocd-vote/7933e6b0-c1d5-4b2f-a049-4f9d987f94b6,yes,14
49db0c46-f47f-41f8-8f4a-6a946925877b,ocd-vote/5868246d-de19-4aaa-8bb4-d77f819fb121,other,18
049972a1-d674-4b3d-a99f-5ea9c61c7425,ocd-vote/5868246d-de19-4aaa-8bb4-d77f819fb121,no,197
da87e932-6b2f-4d57-8db5-8846dbd51a98,ocd-vote/5868246d-de19-4aaa-8bb4-d77f819fb121,yes,179
b0a04faf-a68a-43b4-9945-82bd690264b6,ocd-vote/7696c069-ff67-4624-b6f9-61d32b716b2f,other,1
c9811791-0332-4f0f-bdec-7ff6aec880e3,ocd-vote/7696c069-ff67-4624-b6f9-61d32b716b2f,no,14
fd30fbed-1c6c-418a-b8f4-2845fd53c3cc,ocd-vote/7696c069-ff67-4624-b6f9-61d32b716b2f,yes,9
f65ced46-679a-4560-921e-7c6c39e1c47a,ocd-vote/f503a7c4-4af7-4f5f-87c7-6d5c003a5d35,no,11
8a93f123-de22-45d4-bf76-7f6e8d2db03c,ocd-vote/f503a7c4-4af7-4f5f-87c7-6d5c003a5d35,yes,13
9d3a0712-7268-4eed-9fc0-01cd3516857f,ocd-vote/c265d368-9b71-429c-9673-a1cd5a3b4870,other,54
11d72ef9-ddc0-4c7b-8161-f01c3a9e26a3,ocd-vote/c265d368-9b71-429c-9673-a1cd5a3b4870,no,152
dc6bca37-0523-4cbb-ace2-4f9aeafce3af,ocd-vote/c265d368-9b71-429c-9673-a1cd5a3b4870,yes,190
cda6753c-77f3-4bf3-9b77-32704402088b,ocd-vote/c2d0c826-8315-4369-8235-5d4083061fc3,other,45
360fabdf-295e-42ea-9464-d686e572b518,ocd-vote/c2d0c826-8315-4369-8235-5d4083061fc3,no,160
eea6bc54-b9d3-4405-b145-9682bf0ad82e,ocd-vote/c2d0c826-8315-4369-8235-5d4083061fc3,yes,191
d6f51dfa-56e3-4db4-9b80-d6d39c3e0dc1,ocd-vote/f340b3d2-2f8d-4766-beae-6ad9e8e2523a,no,0
89760ca6-becc-4dbe-9759-d5dc1b7f93ec,ocd-vote/f340b3d2-2f8d-4766-beae-6ad9e8e2523a,yes,24
a7453471-da22-4951-9994-c40b128f1f1a,ocd-vote/b5389638-55b0-4aba-bcdb-039e2fe3b980,no,0
bdd30999-23fc-4e49-8f43-57258cd10080,ocd-vote/b5389638-55b0-4aba-bcdb-039e2fe3b980,yes,24
5513e7bb-94d2-4d45-b414-93b2fba9a32e,ocd-vote/6bcf2d36-47a8-41ce-91dd-7123160ab5b6,other,16
5a30daf3-1c05-4cdf-a518-c3a7373891a6,ocd-vote/6bcf2d36-47a8-41ce-91dd-7123160ab5b6,no,199
976595d7-2902-4939-a04d-198af2dea0f6,ocd-vote/6bcf2d36-47a8-41ce-91dd-7123160ab5b6,yes,181
017d67f5-956f-4ad9-906d-1e0707e86130,ocd-vote/023787db-3fe9-4e05-bf86-b5833cc44770,no,0
58815b7f-dc4b-410a-81ba-a35360a07e5d,ocd-vote/023787db-3fe9-4e05-bf86-b5833cc44770,yes,24
c657218b-c404-4771-8d85-95f290d566dc,ocd-vote/5e7da2b2-ddd7-418e-9218-79fe3649a805,no,0
f2b3d1ad-d860-4096-9423-f74fceef26bb,ocd-vote/5e7da2b2-ddd7-418e-9218-79fe3649a805,yes,24
8e79618e-8bab-4f1e-a2b6-c45333210b54,ocd-vote/0b7b5597-8ef5-4790-be3e-f040b8cd841b,no,0
b1ef59ce-b5c3-412a-95e6-bc75eb8eae7f,ocd-vote/0b7b5597-8ef5-4790-be3e-f040b8cd841b,yes,24
726a40a6-a9fb-49ea-aca4-91dc11334baa,ocd-vote/ea3ce20e-bd5d-4016-a179-c83903ec6c9c,no,0
c0e14cd5-0a03-43b8-9406-b47853e967ec,ocd-vote/ea3ce20e-bd5d-4016-a179-c83903ec6c9c,yes,24
6d2b5e6e-d522-448b-98f2-21a98b154ed8,ocd-vote/2ae61585-102d-46e8-a720-3e7aa2055651,other,21
e57cc3ab-b83e-4e78-b27b-ca014f8ed43e,ocd-vote/2ae61585-102d-46e8-a720-3e7aa2055651,no,181
acbb7766-fba6-46a8-bce7-f39afd06c17d,ocd-vote/2ae61585-102d-46e8-a720-3e7aa2055651,yes,193
45b0f3ad-a1fa-4605-80e8-16b87ccba947,ocd-vote/f4a5fa31-49fb-4af6-a99c-c8a60148e518,no,0
c356c834-b314-455e-aecc-ca7153d0bd0d,ocd-vote/f4a5fa31-49fb-4af6-a99c-c8a60148e518,yes,24
0e09ec10-3067-4590-b8d7-70c8ae0a4012,ocd-vote/bc8b61f2-2c7b-4baf-a45c-6d60d3b871b6,no,0
62bfbb2d-9911-4bd8-bdd1-487316776ed1,ocd-vote/bc8b61f2-2c7b-4baf-a45c-6d60d3b871b6,yes,24
ba0316a4-8862-4aec-9087-f6c6916169f0,ocd-vote/6ddfadd4-e826-492e-912c-dcf382bf4c02,no,0
3249900a-14df-44fa-8f30-f9b1c444b0b9,ocd-vote/6ddfadd4-e826-492e-912c-dcf382bf4c02,yes,24
20659ba8-0d98-4a63-a31c-011ed4a830b1,ocd-vote/348a2f28-2180-47db-901e-499585ce46be,no,0
f3fc2389-49f3-4c15-a514-8f6789acfdea,ocd-vote/348a2f28-2180-47db-901e-499585ce46be,yes,24
cd59307a-035b-4b8f-b3c9-1c4f82c7a99f,ocd-vote/dbc2e76d-3865-45e1-8578-65859f2691a1,other,1
47ab0a0b-e2f5-4033-91f4-01514e8c600e,ocd-vote/dbc2e76d-3865-45e1-8578-65859f2691a1,no,0
bea526d1-50f2-4517-9042-a7421602768a,ocd-vote/dbc2e76d-3865-45e1-8578-65859f2691a1,yes,23
1ab575bd-2cb1-449a-9e65-dba053766d0a,ocd-vote/89533203-9ecb-4cb0-a2ba-dc106d2a6419,no,0
0214adff-192d-4f4b-bf5d-a679ac976b7c,ocd-vote/89533203-9ecb-4cb0-a2ba-dc106d2a6419,yes,24
