id,media_type,url,version_id
7a93e9c1-14c1-4fd9-91b3-e6912090d7b7,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-2804h&txtFormat=amend,04732467-aa3a-4ec7-9a42-76e7871c21a4
9550c3ba-dc81-4d5c-8ac7-9c72ba7d3e6f,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-1010s&txtFormat=amend,56adf148-40dc-4d0e-8c8c-bfafe09c42fb
36613088-c3ea-43db-9c84-9c1c42c0b2c2,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-2820h&txtFormat=amend,09d059c9-7301-44dd-8c01-2ad058212b41
eaae2e23-00ee-4371-a776-80d5da2cbf5a,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0449h&txtFormat=amend,a0fb27b6-9c17-4241-ba42-35b7a32a8be3
3984dd8a-0025-490b-acf3-81896683f3b6,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1021s&txtFormat=amend,87a22c73-704b-4538-99b9-39ff694f4481
045870d2-9665-4e2a-9e2d-9dae0de22013,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1056s&txtFormat=amend,c776a755-cac2-48e6-93ef-3939ca237ac8
5f3e096a-2b62-4b1a-82e7-d10813e23f49,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1618&txtFormat=amend,bf9071ea-1ee4-44f4-92d7-172ce2bfee5f
e95b8b14-3f16-4567-a16b-4a6636572736,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=71&txtFormat=html,3e868fd5-9bfb-4abd-a18f-92ae7e3844fc
5a7a56a7-3668-403a-a72d-e02b30d7311a,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0756s&txtFormat=amend,eb963c5c-a31e-4614-b69d-d0dcd1be5e04
870750d7-0192-4407-b6a0-4c07d8315bf8,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0089h&txtFormat=amend,9f563661-3763-4184-ac6c-275dd4935554
9bf31d46-9c77-433f-9fad-e122f2189dc0,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0152h&txtFormat=amend,cacb9b67-114c-4f68-b4e9-67cd33e316f7
d0f7e816-8255-41a1-8637-9d561deb9ee7,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0168h&txtFormat=amend,cf85d73c-0030-4d14-bfcb-806cd307371c
