id,name,entity_type,organization_id,person_id,bill_id,primary,classification
19fad585-6cca-4f04-9beb-4df2390ac06c,Heidi M. Hamer,person,,ocd-person/b64a1dfb-4b79-4424-96d3-972f6ef2b6eb,ocd-bill/3639e173-981f-4533-ad44-4a6fe7033999,False,cosponsor
c80fdddd-4330-498e-b7d1-e0121b0bef46,Michael Vose,person,,ocd-person/1aa8819a-e1bd-4569-93ec-305ad61e8ea4,ocd-bill/3639e173-981f-4533-ad44-4a6fe7033999,False,cosponsor
53d53301-310f-4f64-aede-ffa770b7a834,Douglas W. Thomas,person,,ocd-person/5db11498-80a8-4136-9c50-2c7f1a2f6826,ocd-bill/3639e173-981f-4533-ad44-4a6fe7033999,False,cosponsor
1e1f7439-eb7d-430a-9623-6eb83b4d7113,Steve J. Shurtleff,person,,ocd-person/8572ae91-584f-45b3-8882-b33fa9588de2,ocd-bill/3639e173-981f-4533-ad44-4a6fe7033999,False,cosponsor
63a2359a-9a47-44b0-ab29-72c08c1519ed,James R. MacKay,person,,ocd-person/c027d650-709d-440f-8740-84b3e11406ba,ocd-bill/3639e173-981f-4533-ad44-4a6fe7033999,False,cosponsor
860128e1-cebf-4462-a59b-889281feb277,Jess Edwards,person,,ocd-person/3787c84d-f615-4e9d-bac8-42f86ea308db,ocd-bill/c1d4735f-46f4-44d7-bc06-fc03f5b20e3d,True,primary
5a601a84-05c3-446c-a3cd-90483c55ff37,Mark McLean,person,,ocd-person/b089786f-4435-4822-a7d6-3725cca787bf,ocd-bill/c1d4735f-46f4-44d7-bc06-fc03f5b20e3d,False,cosponsor
6789a929-1212-4cdf-bd19-c3e72bb755a5,Timothy Lang,person,,ocd-person/5330ad05-ce69-47c0-9093-6286233c7a7d,ocd-bill/cc7e491f-41e1-4253-bbfb-94ddd44dddac,False,cosponsor
610ce1dc-1976-45d8-af96-2bbe75b9353d,Terry Roy,person,,ocd-person/6d43b165-fda9-4918-a2b7-ad66940062a0,ocd-bill/faca1dd2-77d6-4b7e-a086-f29bf82c88e5,False,cosponsor
f01040ce-7098-494e-a467-fe0b9dc5dd92,Joe H. Alexander,person,,ocd-person/e7800d58-1019-4aff-8d1a-22faba9d3e23,ocd-bill/faca1dd2-77d6-4b7e-a086-f29bf82c88e5,False,cosponsor
43ded1bf-44b8-43d5-bf53-f79b3c62c34d,Kevin G. Verville,person,,ocd-person/9d10ccec-b571-4eea-b025-9ed7634b6516,ocd-bill/faca1dd2-77d6-4b7e-a086-f29bf82c88e5,True,primary
1dd93074-4598-47db-9a68-2ca9a8034335,Erica J. Layon,person,,ocd-person/94df7a3f-b27d-42c1-9ecc-1ebdc707c9ae,ocd-bill/cc7e491f-41e1-4253-bbfb-94ddd44dddac,False,cosponsor
b680e6de-7a35-4570-8113-cc423dfb0660,Michael I Moffett,person,,ocd-person/acb20216-f193-42e1-9304-2b1d3572e61d,ocd-bill/cc7e491f-41e1-4253-bbfb-94ddd44dddac,False,cosponsor
e1f5e9a5-6074-44a1-8f97-59f157c5aacf,Glenn Cordelli,person,,ocd-person/c8aa2951-dea0-4999-9b6a-6323d9917e0b,ocd-bill/cc7e491f-41e1-4253-bbfb-94ddd44dddac,True,primary
c5734994-6071-43a6-980a-c68a256899fb,Peter B. Schmidt,person,,ocd-person/16654889-3b48-44d6-a6d3-8da5d7a434f1,ocd-bill/0ea6a92c-427f-4bec-944e-39a4ccab4a25,True,primary
