id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/df0fc298-ce30-4b9a-9542-8d4f49ed51a0,HB 1646,relative to chartered public schools.,['bill'],[],2024,New Hampshire,lower
ocd-bill/7af3b53c-84cb-44a8-aa89-8daaba4eff1a,HB 1077,relative to allowing the use of any-action carbines in certain hunting areas.,['bill'],[],2024,New Hampshire,lower
ocd-bill/52c0771f-75da-4a2d-b233-76943ec497da,HB 91,relative to privacy obligations of the department of health and human services.,['bill'],[],2024,New Hampshire,lower
ocd-bill/cab7f268-7fb1-4226-8af3-d0f813051069,SB 497,relative to establishing the disproportionate share hospital fund.,['bill'],[],2024,New Hampshire,upper
ocd-bill/7d1ec824-a197-4d16-bb3c-8dcc261c1f4a,SB 480,relative to the regulation of real estate practice.,['bill'],[],2024,New Hampshire,upper
ocd-bill/587cb998-39dd-4cba-bfed-2c4e65b18100,SB 332,limiting re-disclosure of consumer reports requested in connection with a credit transaction involving an extension of credit secured by real estate.,['bill'],[],2024,New Hampshire,upper
ocd-bill/81ee9cfe-9fd2-4825-b7eb-223cdd3d1214,SB 500,"establishing a primary care provider loan repayment program, and making an appropriation therefor.",['bill'],[],2024,New Hampshire,upper
ocd-bill/e1db051f-3178-4ed8-a9df-bf098808bcfa,SB 389,relative to extending trout season for catch and release to December 31.,['bill'],[],2024,New Hampshire,upper
ocd-bill/0cbf6e62-ae17-4470-a451-2a6fa1729392,HB 1266,relative to permitting recordings of open family court proceedings by parties.,['bill'],[],2024,New Hampshire,lower
ocd-bill/f42db41e-6928-4b9b-9264-5ac042b2c3bf,SB 533,relative to physical quorums at public meetings.,['bill'],[],2024,New Hampshire,upper
ocd-bill/73c352e3-e07f-45f7-b481-06d0ff0bbaf1,SB 592,renaming Route 127 from Central Street in Franklin to the town line of Sanbornton as Chief Bradley Haas Memorial Highway.,['bill'],[],2024,New Hampshire,upper
ocd-bill/204460da-ee71-4f21-8bbb-98399ddc9102,HB 1598,relative to the department of health and human services management of social security payments and veterans benefits for children in foster care.,['bill'],[],2024,New Hampshire,lower
ocd-bill/4273b4d4-ea6b-44b5-9171-d6174c1db43d,HB 1095,relative to the administration of occupational boards by the office of professional licensure and certification.,['bill'],[],2024,New Hampshire,lower
ocd-bill/8a4a3002-bdcd-431d-ac1b-383b3285a8f4,HB 1424,relative to pistols permitted for taking game.,['bill'],[],2024,New Hampshire,lower
ocd-bill/60479050-5658-4c51-89b6-0325647ca145,HB 225,relative to prohibiting the use of currency that could be detrimental to privacy rights.,['bill'],[],2024,New Hampshire,lower
ocd-bill/ddc6e2c8-6e77-42f9-a95a-f25e29e466d4,HR 25,"resolving to return to the historical intent of the express trust indenture, the New Hampshire Constitution, specifically Part 1, Article 11 and Part 2, Article 32.",['resolution'],[],2024,New Hampshire,lower
ocd-bill/53c840e6-e451-4da1-9608-d6c510fd69e2,HB 1708,relative to local records retention.,['bill'],[],2024,New Hampshire,lower
ocd-bill/471ef50b-1a46-410c-b1db-2d7d99766466,HB 1104,relative to the review of decisions in cases involving judicial misconduct.,['bill'],[],2024,New Hampshire,lower
ocd-bill/c7110d52-1fed-4599-ad55-d28a7d02e86c,HB 606,requiring construction of state buildings or state-funded projects to contain electric vehicle (EV) charging infrastructure.,['bill'],[],2024,New Hampshire,lower
ocd-bill/38e8cfe7-4382-49f7-b07f-16bdfc968a53,SB 361,relative to legal services by paraprofessionals.,['bill'],[],2024,New Hampshire,upper
ocd-bill/a46ee817-488f-4ee6-8beb-cebf5597754c,HB 1503,relative to the definition of wetlands.,['bill'],[],2024,New Hampshire,lower
ocd-bill/74ea6c22-8266-478b-b854-72960d3082e1,HB 1451,relative to mandatory overtime and the calculation of base rate of compensation.,['bill'],[],2024,New Hampshire,lower
ocd-bill/571ee880-cbe1-4e05-9aa4-0791b27065aa,HB 1496,relative to the state's duty to protect children in public schools.,['bill'],[],2024,New Hampshire,lower
ocd-bill/2bb8748e-2c57-408e-a5f8-6c14c03eacaf,HB 1655,including in the commissioner of the department of education's rulemaking authority the authority to make rules regarding collection of fees for criminal background check processing.,['bill'],[],2024,New Hampshire,lower
ocd-bill/95edb258-0b5e-43a1-9296-8c4ceabfc075,HB 1098,relative to ballots delivered to elder care facilities.,['bill'],[],2024,New Hampshire,lower
ocd-bill/52b4af5e-bddd-44cb-a4db-7207efc5bdb6,HB 1540,relative to the definitions of full course meals and full service restaurant for purposes of alcohol licensing.,['bill'],[],2024,New Hampshire,lower
ocd-bill/e2e46dde-7c18-41c5-8e22-cff9b34d7186,SB 409,relative to reimbursement for ambulance services under the state Medicaid plan and making an appropriation therefor and making an appropriation to the department of health and human services to support recreational activities for individuals with developmental disabilities.,['bill'],[],2024,New Hampshire,upper
ocd-bill/77a26528-b18c-432c-8ed1-ce0eb660b149,HB 614,"making an appropriation to the department of health and human services to fund the Merrimack, New Hampshire Kidney Cancer Incidence Phase 3 Feasibility study.",['bill'],[],2024,New Hampshire,lower
ocd-bill/33755979-4fc4-47b9-91ab-16f95f6dde7e,HB 1572,prohibiting using mRNA technology in food and requiring the labeling of lab grown meat and food containing insects.,['bill'],[],2024,New Hampshire,lower
ocd-bill/1ead00af-6d9d-47ee-ad95-3f24a2cbc3d4,HB 1252,relative to establishing a committee to study the needs of Native Americans in New Hampshire.,['bill'],[],2024,New Hampshire,lower
ocd-bill/cc6653b8-4a30-4947-96b6-cc0a70b86ced,HB 1372,relative to prohibiting torture.,['bill'],[],2024,New Hampshire,lower
ocd-bill/9d909772-c25f-498b-8306-88c7546af9b2,HB 379,requiring notice be provided to tenants during residential eviction proceedings regarding legal counsel.,['bill'],[],2024,New Hampshire,lower
ocd-bill/5f663332-b6d8-4814-842c-49fd7aed6f6c,HB 1614,relative to judicial review of department of environmental services decisions.,['bill'],[],2024,New Hampshire,lower
ocd-bill/47023224-632b-4c05-9d52-27b716447e10,HB 1548,relative to recommendations of the joint committee on employee classification.,['bill'],[],2024,New Hampshire,lower
ocd-bill/0f6aefbe-e013-4a26-9877-2f68c5b6c309,HB 1399,allowing municipalities to permit 2 residential units in certain single-family residential zones.,['bill'],[],2024,New Hampshire,lower
ocd-bill/f13b420a-bef4-45d0-b1df-6b509f31d1d5,HB 1662,relative to restricting simultaneous employment of certain department of health and human services staff with adoption or child placement agencies.,['bill'],[],2024,New Hampshire,lower
ocd-bill/ec6bbb0e-64fc-4330-bddd-1b2d25481114,SB 342,relative to school building aid funding.,['bill'],[],2024,New Hampshire,upper
ocd-bill/b4d2f094-0624-422c-a99f-822a529fe9c5,HB 1105,relative to application of a local tax cap.,['bill'],[],2024,New Hampshire,lower
ocd-bill/efd75963-c710-47d9-89ad-0c917bf0445e,SB 326,relative to the adjudication of lottery infractions.,['bill'],[],2024,New Hampshire,upper
ocd-bill/0655f16f-29dc-4f32-b499-f469f451e953,SB 501,relative to driver licenses for noncitizens residing in New Hampshire.,['bill'],[],2024,New Hampshire,upper
ocd-bill/885025b3-3df6-4530-9fa9-83d15d7787f3,HB 1387,relative to revisions to the state building code.,['bill'],[],2024,New Hampshire,lower
ocd-bill/93467ece-9600-446d-9559-2d3f63f43f31,SB 569,relative to the powers and duties of the attorney general as the state's attorney.,['bill'],[],2024,New Hampshire,upper
ocd-bill/c8777e18-2800-42cf-bc98-73cab0b344d8,SB 316,establishing a penalty for a person who transports fentanyl class drugs into New Hampshire with the intent to distribute.,['bill'],[],2024,New Hampshire,upper
ocd-bill/f85c7076-826a-45c5-b1b2-e25d602d2576,HB 1357,relative to condominium board meetings.,['bill'],[],2024,New Hampshire,lower
ocd-bill/f65b7d3b-3999-4136-8137-d94f446d425b,SB 581,relative to temporary drivers licenses and non-driver identification cards.,['bill'],[],2024,New Hampshire,upper
ocd-bill/5ca514ec-6017-48d5-b107-d3c70964ed9f,SB 591,"modifying definitions, claims procedures, and funding relating to the youth development center settlement fund and claims administration.",['bill'],[],2024,New Hampshire,upper
ocd-bill/66574e4a-996a-4d3b-ac29-3248a3015af0,HB 1115,relative to the termination of tenancy at the expiration of the tenancy or lease term.,['bill'],[],2024,New Hampshire,lower
ocd-bill/4f286a6c-7398-4cc2-ade8-348b0ab171ed,HB 1120,repealing the provision that requires the reflection of municipal body votes on warrant articles.,['bill'],[],2024,New Hampshire,lower
ocd-bill/f46556c8-d7d3-4a52-8324-338151779371,HB 1023,relative to requiring employers to provide notice of resources available to support veterans with post traumatic stress disorder (PTSD).,['bill'],[],2024,New Hampshire,lower
ocd-bill/f15b3962-91ba-4bfd-bcab-7bb81679d7e6,HB 1587,relative to the installation of video surveillance equipment in special education school buses.,['bill'],[],2024,New Hampshire,lower
ocd-bill/14e954da-5aff-430c-818e-cdb293618286,HB 1585,"relative to the position of certified assisted living medication aide and relative to the state loan repayment program for qualified nursing professionals, and making an appropriation therefor.",['bill'],[],2024,New Hampshire,lower
ocd-bill/5c2eed59-439f-4b96-9d41-3900cf9d222d,HB 1284,relative to the quasi-judicial authority of planning boards.,['bill'],[],2024,New Hampshire,lower
ocd-bill/0d402929-0173-4660-8533-de68c5615a2e,HB 1660,relative to coverage of certain procedures for minor children under the state’s Medicaid program.,['bill'],[],2024,New Hampshire,lower
ocd-bill/ee59f8c8-934b-42bc-8e7b-430b8e537437,HB 1223,creating local options for games of chance.,['bill'],[],2024,New Hampshire,lower
ocd-bill/841b2cd8-aa7e-4ad2-bedb-8d1189ab2746,HB 147,relative to membership of the advisory committee on the education of students with disabilities.,['bill'],[],2024,New Hampshire,lower
ocd-bill/9c617c70-d56e-44d9-88b9-638029179577,SB 453,making an appropriation to the statewide voter registration system.,['bill'],[],2024,New Hampshire,upper
ocd-bill/dec10ed6-8ff4-4fbe-87d2-862b67b9d1dc,HB 1154,relative to property tax exemptions for certain disabled veterans.,['bill'],[],2024,New Hampshire,lower
ocd-bill/bafa082b-94bd-45a1-a79c-3b731736a58a,SB 408,establishing a committee to study the effects of the housing crisis on the disability community.,['bill'],[],2024,New Hampshire,upper
