id,vote_event_id,option,voter_name,voter_id,note
053878d3-16dc-42f7-b1dd-af8e81f68f9e,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,no,Cindy Rosenwald,ocd-person/f3e949ce-6d98-4826-bbca-08039cea4ea4,
807d64fb-5c50-499d-a0e5-315645195507,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,James P. Gray,ocd-person/e6443187-eb51-42eb-8bd7-349ed0ba9641,
da06205c-72d2-46e3-b81e-e3917e399b1f,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,Ruth Ward,ocd-person/9089a509-1f26-4770-adc6-199ed716e692,
1d57a029-f344-4417-9dcf-06b954b0eb4e,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,Bill M. Gannon,ocd-person/d3c437bd-532d-458b-961f-4f6dccec1e4b,
cadec2ef-3293-45fa-b15b-c24409701bac,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,Daniel E. Innis,ocd-person/6328e7f7-d952-4d28-98b8-75a9a6f50c8d,
92022086-db06-4020-ad4f-e70e3d910dbc,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,no,Suzanne M. Prentiss,ocd-person/de206392-deba-4ecf-96a3-33494c415417,
71bb9116-ccc9-4eb5-a959-9a8621d5f332,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,Denise Ricciardi,ocd-person/8dc59c94-caba-41b2-a6ba-6bca0f595118,
b6ed4b6f-62ce-4dd1-a2b6-590d3cf475c9,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,no,Rebecca G. Whitley,ocd-person/92267d4c-e6f1-4f45-87be-83f229c2cd36,
d97f2d4f-e4c1-4496-af45-a1b4e7b6c131,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,no,Rebecca Perkins Kwoka,ocd-person/c20b7693-7f2c-4646-af7f-d57518edd1a4,
14197474-c493-465a-8e94-27786f8fee7f,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,Carrie L. Gendreau,ocd-person/33ce9791-5bd7-4f8a-a0a3-5aaf1c3efe22,
728f8d96-a841-4e0f-84dc-8487ccbd9e73,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,Timothy Lang,ocd-person/5330ad05-ce69-47c0-9093-6286233c7a7d,
2fcf46b4-9a74-49fe-80f8-7317deb5c117,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,no,Donovan Fenton,ocd-person/8e013e93-3dd2-4530-a42f-d9ba62ea5f04,
3cd354d1-5f1a-4730-ac1d-4cf9b490a61c,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,Keith R. Murphy,ocd-person/7ec573c3-d961-4d08-a71c-d239490b5c1a,
d18c3faf-b6a5-455c-8588-93c5d84be5eb,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,Howard Pearl,ocd-person/c4122c6a-ed23-492e-b813-59a0fed1ec86,
90a47064-dbaa-4192-86bd-f77e75493bae,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,Daryl Abbas,ocd-person/6dfd683a-1f79-49db-95a9-07f4f9898a22,
